1424354575 211 0 0 0 0
1424354714 212 0 0 0 0
1424790828 978 0 0 0 0
1424792715 978 0 0 0 0
1424815142 987 0 0 0 0
1424900277 1113 0 0 0 0
1424966916 1303 0 0 0 0
1424983227 1333 0 0 0 0
1425043254 1341 0 0 0 0
1427364897 1353 0 0 0 0
1435238768 1369 0 0 0 0
1435239475 1374 0 0 0 0
1435240310 1375 0 0 0 0
1435301242 1375 0 0 0 0
1435306742 1388 0 0 0 0
1435307265 1388 0 0 0 0
1435312045 1392 0 0 0 0
1435565620 1434 0 0 0 0
1435566405 1435 0 0 0 0
1435593029 1479 0 0 0 0
1435840296 1481 0 0 0 0
1436270585 1483 0 0 0 0
1436274849 1483 1 0 0 0
1436274870 1483 1 0 0 0
1436311157 1484 1 0 0 0
1436337383 1484 1 0 0 0
1436533859 1486 1 0 0 0
1438793886 1664 1 0 0 0
1438794089 1793 1 0 0 0
1438810170 1794 1 0 0 0
1438943183 1818 1 0 0 0
1439202421 1828 1 0 0 0
1439365513 2160 1 0 0 0
1439365644 2245 1 0 0 0
1439401061 2370 1 0 0 0
1439725557 2403 1 0 0 0
1439878338 2493 1 0 0 0
1440061197 2614 1 0 0 0
1440576080 2724 1 0 0 0
1440599243 2759 1 0 0 0
1440648454 2987 1 0 0 0
1440685432 3838 1 0 0 0
1440685487 3839 1 0 0 0
1440771629 4033 1 0 0 0
1440771943 4033 1 0 0 0
1440993674 4345 1 0 0 0
1440996314 4360 1 0 0 0
1441007923 4401 1 0 0 0
1441029140 4417 1 0 0 0
1441030837 4424 1 0 0 0
1441093172 4424 4 0 0 0
1441093195 4424 4 0 0 0
1441099475 4431 5 0 0 0
1441113625 4689 5 0 0 0
1441113701 4791 5 0 0 0
1441114655 5158 5 0 0 0
1441114753 5158 5 0 0 0
1441114790 5158 5 0 0 0
1441188126 5168 5 0 0 0
1441252887 5199 5 0 0 0
1441272723 5285 5 0 0 0
1441275683 5285 5 0 0 0
1441286457 5285 6 0 0 0
1441287903 5288 6 0 0 0
1441288240 5290 6 0 0 0
1441290218 5332 6 0 0 0
1441342012 5392 6 0 0 0
1441345410 5421 6 0 0 0
1441346076 5455 6 0 0 0
1441347610 5459 6 0 0 0
1441354142 5556 6 0 0 0
1441361919 5648 6 0 0 0
1441369815 5681 6 0 0 0
