gmail.com 1 603
std.iyte.edu.tr 2 5
zx-logging-01.c.zetaops-academic-erp.internal 3 3
ulakbus-logging-02.zetaops.local 4 2
ulakbus-redis-02.zetaops.local 5 1
ulakbus-logging-01.zetaops.local 6 1
ulakbus-control-center.zetaops.local 7 1
